state,dataset,lifestage,DataType,Escapement Methodology Description,Biologist Methodology Description
ID,1,A,Weir Counts,"long-term dataset, the best in the state, fish tight weir consistent operation over time",
ID,2,J,Screw Trap,"Bull Trout are bycatch of a anadromous screw trapping effort, trap operation techniques and season of operation pretty consistent across time",
ID,3,J,Snorkel counts,"Snorkel surveys are spread scross mutiple location populations in Core Area, but if split would only be a site or two a LP. This set of snorkel surveys have been done consistently across dataset.",
ID,4,J,Screw Trap,"Screw trap operated as part of a long-term wild steelhead monitoring project. Fish Cr is a great consistent dataset, but not a BT Local population. BT strongholds in the Core Area are in upper portions of the drainage. This should still serve as an index, but not a strong loal popualtion in the Core Area. Two traps (below) Crooked FOrk and Colt Killed were operated in the Core Area until 2013. These were located in BT LP's and strongholds within the Lochsa.",
ID,5,J,Screw Trap,Screw trap operated as part of a long-term anadromous monitoring project. Crooked River is a representative dataset for the Core Area. Contains migratory BT connection with SFK CLW.,
ID,6,J,Snorkel counts,"Snorkel surveys are spread scross mutiple location populations in Core Area, but if split would only be a site or two a LP. This set of snorkel surveys have been done consistently across dataset.",
ID,7,A,Weir Counts,Solid Nez Perce Tribe dataset. Weir has been run consistently and efficiently across dataseries. Fish sampled include migratory adults. Smaller individuals would escape through weir. Length data is also available from NPT. ,
ID,8,J,Screw Trap,"Good screw trap dataseries in a major tributary to the MFK SALR. Series is a little short, but operations should be  consistent across years. Big Cr. Is a major tributary to the MFK Core Area.",
ID,9,J,Snorkel counts,Comprised of 10 snorkel sites across multiple MFK local populations. Data not collected annually across dataseries but still represents a long-term MFK data collection.,
ID,10,J,Snorkel counts,Comprised of 4 snorkel sites across Selway R Core Area. Data not collected annually across dataseries but still represents a long-term dataset. ,
ID,11,B,Electrofishing,"USFS dataset from long-term e-fishing within Core Area, mix of tributaries. North Fork SAL which has some sites, is the focus of habitat restoration efforts that ramped up a few years ago. ",
ID,12,J,Screw Trap,"Lemhi River contains a robust dataset associated with IMW project ocuring within the drainge. Has been the focus of extensive habitat retoration efforts including increase baseflow, channel recconects. ",
ID,13,J,Screw Trap,"Lemhi River contains a robust dataset associated with IMW project ocuring within the drainge. Has been the focus of extensive habitat retoration efforts including increase baseflow, channel recconects. ",
ID,14,J,Screw Trap,"Lemhi River contains a robust dataset associated with IMW project ocuring within the drainge. Has been the focus of extensive habitat retoration efforts including increase baseflow, channel recconects. ",
ID,15,B,Electrofishing,USFS dataset from long-term e-fishing within Core Area. 2 trend reaches.,
ID,16,A,Weir Counts,EFK SALR weir is a fish tight efficient weir. Trapping has switched hands to the SBT in more recent years. ,
ID,17,A,Fishery,Long-term dataset of fishery CPUE on BLT from Redfish Lake. ,
ID,18,A,Weir Counts,"Redfish Lake weir operated as part of the sockeye program. But, operations should have been consistent across time. Weir configuration was changed in 2018 but season of operation and efficiency should have remained high, though I don't think efficiency estimates were generated for BT.",
ID,19,J,Screw Trap,"Screw trap is operated just upstream of the Sawtooth Hatchery weir on the mainstem Salmon River. Good dataset, samples multiple local pops above that location.",
ID,20,J,Snorkel counts,USFS snorkel dataset. Pretty big gap in recent years. May be worth including 2021 in a model run update if we can. 4 streams (avg snorkel # / 100m),
ID,21,B,Electrofishing,Mainstem surveys on SFK Boise River above Anderson Ranch Reservoir. 2 M-R sites. (#/100m2). Done ~ every third year.,
ID,22,B,Electrofishing,"Long-term collaborative efishing dataset with IDFG/USFS. Covers multiple local populations in the Core Area. Surveys on Timber, Wet, and Sawmill combined.",
ID,23,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,24,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,25,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,26,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,27,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,28,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,29,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,30,A,Redd Surveys,Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. ,
ID,31,A,Redd Surveys,"These walks occur in the Idaho portion of the Core Area. BT distribution in the Core Area is predominately in MT. Did not include MT streams but those should be contained within the MT sheet, I think.",
ID,32,A,Redd Surveys,"Comprised of 8 index stream reaches within the local population. Other redd walks have been done in other local populations within the Core Area, but infrequently. Also, the Little NFK drainage is HUGE, and not included in this dataseries. It is largely in a wilderness type setting. IDFG is doing surveys in 2021 in the Little NFK to compare to NFK work. ",
ID,33,A,Redd Surveys,"Part of larger redd count walks in Core Area. Other redd walks have been done in other local populations within the Core Area, but infrequently.",
ID,34,A,Redd Surveys,"Part of larger redd count walks in Core Area. Other redd walks have been done in other local populations within the Core Area, but infrequently.",
ID,35,A,Redd Surveys,"Part of larger redd count walks in Core Area. Other redd walks have been done in other local populations within the Core Area, but infrequently.",
ID,36,A,Redd Surveys,"Redd walks occur in association with Upper Preist Lake, no redd walks, and presumed no BT distribution in streams entering into Lower Preist Lake, though it is part of the Core Area. ",
ID,37,A,Redd Surveys,"Redd walks occur in association with Upper Preist Lake, no redd walks, and presumed no BT distribution in streams entering into Lower Preist Lake, though it is part of the Core Area. ",
ID,38,A,Redd Surveys,"Redd walks occur in association with Upper Preist Lake, no redd walks, and presumed no BT distribution in streams entering into Lower Preist Lake, though it is part of the Core Area. ",
ID,39,A,Redd Surveys,"Long-term redd walk dataset in Upper Salmon, additional transects added in 2008 but only historic walk count is summarized to maintain consistent survey distance across the dataseries.",
ID,40,A,Redd Surveys,"Long-term redd walk dataset in Upper Salmon, additional transects added in 2008 but only historic walk count is summarized to maintain consistent survey distance across the dataseries.",
ID,41,A,Redd Surveys,"Long-term redd walk dataset in Upper Salmon, additional transects added in 2008 but only historic walk count is summarized to maintain consistent survey distance across the dataseries.",
ID,42,J,Screw Trap,"Screw trap pulled due to change in anadromous program. Long term dataset through 2014, American River is in close spatial proximity to Crooked River in the SFK ",
ID,43,J,Screw Trap,"Screw trap pulled due to change in anadromous program. Long term dataset through 2014, Red River is in close spatial proximity to Crooked River in the SFK ",
ID,44,J,Screw Trap,"Screw trap pulled due to change in anadromous program. Long term dataset through 2014, represents a much stronger BT local population in the Lochsa Core Area compared to Fish Cr. But, dataseries cut short by trap re-location.",
ID,45,J,Screw Trap,"Screw trap pulled due to change in anadromous program. Long term dataset through 2014, represents a much stronger BT local population in the Lochsa Core Area compared to Fish Cr. But, dataseries cut short by trap re-location.",
ID,46,J,Screw Trap,NPT screw trap pulled due to change in anadromous program. Long term dataset through 2013,
ID,47,J,Screw Trap,NPT screw trap pulled due to change in anadromous program. Long term dataset through 2013,
ID,48,J,Screw Trap,"Dataseries does not include 2015, partial trapping season and not comparable to previous",
ID,49,J,Screw Trap,"Marsh Creek Trap location from 92-15 but moved lower in 2016, overlapping years in 2010-2015",
ID,50,J,Screw Trap,"Marsh Creek Trap location from 2010-2019, replaced upper trap location",
ID,51,J,Screw Trap,Screw trap pulled due to change in anadromous program. Long term dataset through 2014,
ID,52,J,Screw Trap,Screw trap pulled due to change in anadromous program. Long term dataset through 2014,
ID,53,J,Screw Trap,"BT present at low abundance at trap, at the bottom of the system. But operated consistently across time.",
ID,54,A,Redd Surveys,"Long-term index redd walk dataset in LPO Core Area. LPO is one of the strongest BT Core Areas in Idaho. Gold Creek (South) is it's own local population and flows directly into LPO, hence the separate reporting from NFK Gold Cr.",
OR,1,A,Redd Surveys,Annual Redd Surveys of known and potential spawning reaches in Sweetwater Creek and Mckenzie River above Trail Bridge Reservoir.  Surveyed by 1 or 2 experienced surveyors every other week genreally from early August to late October.  Conducted zero counts and flagged redds to prevent double counting.,
OR,2,A,Redd Surveys,Annual Redd Surveys of known and potential spawning reaches in Anderson and Ollalie Creeks and Mckenzie River below Trail Bridge Dam.  Surveyed by 1 or 2 experienced surveyors every other week genreally from early August to late October.  Conducted zero counts and flagged redds to prevent double counting.,
OR,3,A,Redd Surveys,Annual Redd Surveys of known and potential spawning reaches in 31Km reach of South Fork McKenzie from the head of Cougar Reservoir to Elk Creek.  Surveyed by 1 or 2 experienced Chinook salmon spawning surveyors every other week genreally from early August to late October.  Conducted zero counts and flagged redds to prevent double counting.,
OR,4,A,Redd Surveys,"Annual Redd Surveys of known and potential spawning reaches in MFWR from Sacandage Campground to the Gorge upstream of tumblebug Creek (every other week),  all reaches of Iko, Indigo, and Chuckle springs accessible to bull trout (every week) and Swift Creek from the mouth to Bear Creek plus 2km of Bear Creek twice per year and Lower Echo and Found crees once per year.  Surveyed by 1 or 2 experienced  surveyors every other week genreally from early August to late October.  Conducted zero counts and flagged redds to prevent double counting.",
OR,5,A,Redd Surveys,Annual Census Redd Surveys using a standardized protocol in Upper Clear Branch (0-6.1km) and Pinnacle Creek (0-3.0 km) .  Surveys occurred every other week from mid August to early November.  Zero count in early August.  Every survey included at least 1 of 3 experienced surveyors.,
OR,6,A,Redd Surveys,Annual Index Redd Surveys of Jefferson and Candle Creeks.  2 surveys per year (mid September and mid October) by expereinced surveyors.  ,
OR,7,A,Redd Surveys,"Annual Index Redd Surveys of Canyon and Jack Creeks, Heising Springs, and Metolius River between Jack and Canyon Creeks (does not include Spring Creek that was only surveyed in some years).  2 surveys per year (mid September and mid October) by expereinced surveyors.  ",
