state,dataset,recovery_unit,core_area,popn_stream,metric,source,year,value
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2009,0.3226583
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2010,0.3786976
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2011,0.5323071
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2012,0.4672833
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2013,0.5420451
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2014,0.5886696
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2015,0.5154954
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2016,0.2652365
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2017,0.4121892
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2018,0.5429496
ID,101,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,survival,mark_output,2019,0.5680037
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2011,854.8182118000001
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2012,963.8525561000001
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2013,928.2848316000001
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2014,635.6655067
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2015,534.7502272
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2016,433.01066690000005
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2017,407.4417361
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2018,399.29661660000005
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2019,320.09688550000004
ID,102,Mid-Columbia/Upper Snake,*Snake River FMO,Imnaha/Grande Ronde/Salmon,abundance,mark_output,2020,431.00371020000006
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2009,24
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2010,74
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2011,30
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2012,21
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2013,60
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2014,19
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2015,7
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2016,14
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2017,15
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2018,21
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2019,13
ID,55,Upper Snake,Upper Salmon,Multiple,abundance,weir,2020,20
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1973,114
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1974,290
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1975,461
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1976,414
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1977,212
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1978,118
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1979,262
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1980,220
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1981,140
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1982,100
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1983,131
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1984,349
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1985,160
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1986,154
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1987,129
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1988,132
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1989,185
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1990,247
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1991,300
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1992,271
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1993,113
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1994,147
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1995,203
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1996,220
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1997,110
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1998,114
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,1999,162
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2000,301
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2001,361
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2002,362
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2003,139
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2004,240
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2005,242
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2006,313
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2007,409
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2008,362
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2009,422
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2010,300
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2011,479
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2012,347
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2013,411
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2014,329
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2015,379
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2016,242
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2017,299
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2018,364
ID,1,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,weir,2019,469
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2008,390
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2009,446
ID,2,Upper Snake,Little-Lower Salmon River,Rapid River,abundance,screw_trap,2010,197
