"","CI_lo_90","mean","CI_up_90","trend"
"ID: Mid Columbia: Lochsa River",-0.0245,0.0054,0.0353,"0"
"ID: Mid Columbia: Selway River",-0.0737,-0.0222,0.0293,"0"
"ID: Mid Columbia: South Fork Clearwater",0.0024,0.0292,0.0561,"+"
"ID: Upper Snake: Lemhi River",9e-04,0.049,0.0971,"+"
"ID: Upper Snake: Little Lost",0.0048,0.0748,0.1448,"+"
"ID: Upper Snake: Little-Lower Salmon River",-0.0733,-0.0443,-0.0154,"-"
"ID: Upper Snake: Mid Salmon - Panther",-0.0839,-0.0234,0.0371,"0"
"ID: Upper Snake: Middle Fork Salmon River",-0.0243,0.0037,0.0317,"0"
"ID: Upper Snake: Pahsimeroi",-0.0118,0.087,0.1857,"0"
"ID: Upper Snake: South Fork Salmon River",0.0518,0.0864,0.121,"+"
"ID: Upper Snake: Upper Salmon",0.0393,0.0653,0.0913,"+"
"ID: Upper Snake: Weiser River",-0.1498,-0.0381,0.0735,"0"
"OR: Coastal: Odell Lake",0.0368,0.0972,0.1577,"+"
"WA: Coastal: Dungeness",-0.1441,-0.0642,0.0156,"0"
"WA: Coastal: Lower Skagit River",-0.1055,-0.0712,-0.0369,"-"
"WA: Mid Columbia: Asotin Creek",-0.1783,-0.1188,-0.0593,"-"
"WA: Mid Columbia: Entiat River",-0.3352,-0.2019,-0.0687,"-"
"WA: Mid Columbia: Tucannon River",-0.0482,-0.0122,0.0238,"0"
"WA: Mid Columbia: Wenatchee River",-0.014,0.013,0.0401,"0"
